unique_housing_id,geo,unique_id_in_geo,sample_geo,hhldtype,rhhldtype,hid,entity
60,1,61,1,2,2,5,household
61,1,62,1,2,2,5,household
62,1,63,1,2,2,5,household
63,1,64,1,2,2,5,household
64,1,65,1,2,2,5,household
65,1,66,1,2,2,5,household
66,1,67,1,2,2,5,household
67,1,68,1,2,2,5,household
68,1,69,1,2,2,5,household
69,1,70,1,2,2,5,household
70,1,71,1,2,2,5,household
71,1,72,1,2,3,6,household
72,1,73,1,2,3,6,household
73,1,74,1,2,3,6,household
74,1,75,1,2,3,6,household
75,1,76,1,2,3,6,household
76,1,77,1,2,3,6,household
77,1,78,1,2,3,6,household
78,1,79,1,2,3,6,household
79,1,80,1,2,3,6,household
80,1,81,1,2,3,7,household
81,1,82,1,2,3,7,household
82,1,83,1,2,3,7,household
83,1,84,1,2,3,7,household
84,1,85,1,2,3,7,household
85,1,86,1,2,3,7,household
86,1,87,1,2,3,7,household
87,1,88,1,2,3,7,household
88,1,89,1,2,3,8,household
89,1,90,1,2,3,8,household
90,1,91,1,2,3,8,household
91,1,92,1,2,3,8,household
92,1,93,1,2,3,8,household
93,1,94,1,2,3,8,household
94,1,95,1,2,3,8,household
95,1,96,1,2,3,8,household
96,1,97,1,2,3,8,household
97,1,98,1,2,3,8,household
98,2,1,1,1,2,1,household
99,2,2,1,1,1,2,household
100,2,3,1,1,1,2,household
101,2,4,1,1,1,2,household
102,2,5,1,1,1,2,household
103,2,6,1,1,1,2,household
104,2,7,1,1,1,2,household
105,2,8,1,1,1,2,household
106,2,9,1,1,1,2,household
107,2,10,1,1,1,2,household
108,2,11,1,1,1,2,household
109,2,12,1,1,1,2,household
110,2,13,1,1,1,2,household
111,2,14,1,1,1,2,household
112,2,15,1,1,1,2,household
113,2,16,1,1,1,2,household
114,2,17,1,1,1,2,household
115,2,18,1,1,1,2,household
116,2,19,1,1,1,2,household
117,2,20,1,1,1,2,household
118,2,21,1,1,1,2,household
119,2,22,1,1,1,2,household
120,2,23,1,1,1,2,household
121,2,24,1,1,2,3,household
122,2,25,1,1,2,3,household
123,2,26,1,1,2,3,household
124,2,27,1,1,2,3,household
125,2,28,1,1,2,3,household
126,2,29,1,1,2,3,household
127,2,30,1,1,2,3,household
128,2,31,1,1,2,3,household
129,2,32,1,1,2,3,household
130,2,33,1,1,2,3,household
131,2,34,1,2,1,4,household
132,2,35,1,2,1,4,household
133,2,36,1,2,1,4,household
134,2,37,1,2,1,4,household
135,2,38,1,2,1,4,household
136,2,39,1,2,1,4,household
137,2,40,1,2,1,4,household
138,2,41,1,2,1,4,household
139,2,42,1,2,1,4,household
140,2,43,1,2,1,4,household
141,2,44,1,2,1,4,household
142,2,45,1,2,1,4,household
143,2,46,1,2,1,4,household
144,2,47,1,2,1,4,household
145,2,48,1,2,1,4,household
146,2,49,1,2,1,4,household
147,2,50,1,2,1,4,household
148,2,51,1,2,1,4,household
149,2,52,1,2,1,4,household
150,2,53,1,2,1,4,household
151,2,54,1,2,1,4,household
152,2,55,1,2,1,4,household
153,2,56,1,2,1,4,household
154,2,57,1,2,1,4,household
155,2,58,1,2,1,4,household
156,2,59,1,2,1,4,household
157,2,60,1,2,1,4,household
158,2,61,1,2,1,4,household
159,2,62,1,2,2,5,household
160,2,63,1,2,2,5,household
161,2,64,1,2,2,5,household
162,2,65,1,2,2,5,household
163,2,66,1,2,2,5,household
164,2,67,1,2,2,5,household
165,2,68,1,2,2,5,household
166,2,69,1,2,2,5,household
167,2,70,1,2,2,5,household
168,2,71,1,2,3,6,household
169,2,72,1,2,3,6,household
170,2,73,1,2,3,6,household
171,2,74,1,2,3,6,household
172,2,75,1,2,3,6,household
173,2,76,1,2,3,6,household
174,2,77,1,2,3,6,household
175,2,78,1,2,3,6,household
176,2,79,1,2,3,6,household
177,2,80,1,2,3,6,household
178,2,81,1,2,3,6,household
179,2,82,1,2,3,6,household
180,2,83,1,2,3,6,household
181,2,84,1,2,3,6,household
182,2,85,1,2,3,6,household
183,2,86,1,2,3,6,household
184,2,87,1,2,3,6,household
185,2,88,1,2,3,6,household
186,2,89,1,2,3,6,household
187,2,90,1,2,3,6,household
188,2,91,1,2,3,6,household
189,2,92,1,2,3,6,household
190,2,93,1,2,3,6,household
191,2,94,1,2,3,6,household
192,2,95,1,2,3,6,household
193,2,96,1,2,3,6,household
194,2,97,1,2,3,6,household
195,2,98,1,2,3,6,household
196,2,99,1,2,3,7,household
197,2,100,1,2,3,7,household
198,2,101,1,2,3,7,household
199,2,102,1,2,3,7,household
200,2,103,1,2,3,7,household
201,2,104,1,2,3,7,household
202,2,105,1,2,3,7,household
203,2,106,1,2,3,7,household
204,2,107,1,2,3,8,household
205,2,108,1,2,3,8,household
206,2,109,1,2,3,8,household
207,2,110,1,2,3,8,household
208,2,111,1,2,3,8,household
209,2,112,1,2,3,8,household
210,2,113,1,2,3,8,household
211,2,114,1,2,3,8,household
212,2,115,1,2,3,8,household
213,2,116,1,2,3,8,household
214,2,117,1,2,3,8,household
215,2,118,1,2,3,8,household
216,2,119,1,2,3,8,household
217,2,120,1,2,3,8,household
218,2,121,1,2,3,8,household
219,2,122,1,2,3,8,household
220,2,123,1,2,3,8,household
221,2,124,1,2,3,8,household
222,2,125,1,2,3,8,household
223,2,126,1,2,3,8,household
224,2,127,1,2,3,8,household
225,2,128,1,2,3,8,household
226,2,129,1,2,3,8,household
227,2,130,1,2,3,8,household
228,2,131,1,2,3,8,household
229,2,132,1,2,3,8,household
230,2,133,1,2,3,8,household
231,2,134,1,2,3,8,household
232,2,135,1,2,3,8,household
233,2,136,1,2,3,8,household
